"","PLAYER_ID","PLAYER_NAME","PLAYER_LAST_TEAM_ID","PLAYER_LAST_TEAM_ABBREVIATION","AGE","GP","G","FGA_FREQUENCY","FGM","FGA","FG_PCT","EFG_PCT","FG2A_FREQUENCY","FG2M","FG2A","FG2_PCT","FG3A_FREQUENCY","FG3M","FG3A","FG3_PCT"
"357","201152","Thaddeus Young","1610612756","PHX","35","29","7","0.097","4","10","0.4","0.4","0.078","4","8","0.5","0.019","0","2","0"
"358","1630577","Julian Champagnie","1610612759","SAS","22","66","7","0.03","3","10","0.3","0.4","0.009","1","3","0.333","0.021","2","7","0.286"
"359","1631172","Ousmane Dieng","1610612760","OKC","20","31","7","0.096","3","10","0.3","0.35","0.038","2","4","0.5","0.058","1","6","0.167"
"360","1629052","Oshae Brissett","1610612738","BOS","25","48","7","0.077","3","10","0.3","0.3","0.054","3","7","0.429","0.023","0","3","0"
"361","202709","Cory Joseph","1610612744","GSW","32","26","8","0.161","2","10","0.2","0.3","0.032","0","2","0","0.129","2","8","0.25"
"362","1641726","Dereck Lively II","1610612742","DAL","20","55","9","0.03","7","9","0.778","0.778","0.03","7","9","0.778","0","0","0",NA
"363","1627788","Furkan Korkmaz","1610612755","PHI","26","35","8","0.118","5","9","0.556","0.667","0.066","3","5","0.6","0.053","2","4","0.5"
"364","201599","DeAndre Jordan","1610612743","DEN","35","33","8","0.098","5","9","0.556","0.556","0.098","5","9","0.556","0","0","0",NA
"365","1630235","Trent Forrest","1610612737","ATL","25","36","9","0.106","4","9","0.444","0.444","0.071","4","6","0.667","0.035","0","3","0"
"366","1630572","Sandro Mamukelashvili","1610612759","SAS","24","38","9","0.102","4","9","0.444","0.444","0.057","4","5","0.8","0.045","0","4","0"
"367","202687","Bismack Biyombo","1610612760","OKC","31","37","9","0.073","4","9","0.444","0.444","0.073","4","9","0.444","0","0","0",NA
