"","player_name","drives","drive_fta","drive_pts","drive_fg_pct"
"378","Malcolm Brogdon","480","60","256","0.49"
"379","Malcolm Cazalon","0","0","0","0"
"380","Malik Beasley","160","2","79","0.488"
"381","Malik Monk","922","102","364","0.469"
"382","Malik Williams","0","0","0","0"
"383","Mamadi Diakite","1","0","0","0"
"384","Maozinha Pereira","1","0","0","0"
"385","MarJon Beauchamp","59","8","32","0.522"
"386","Marcus Morris Sr.","59","14","48","0.472"
"387","Marcus Sasser","373","34","152","0.473"
"388","Marcus Smart","145","12","87","0.576"
"389","Mark Williams","2","0","2","1"
"390","Markelle Fultz","243","8","99","0.409"
"391","Markieff Morris","7","0","2","0.143"
"392","Markquis Nowell","4","2","2","0"
"393","Marques Bolden","0","0","0","0"
"394","Marvin Bagley III","93","30","73","0.361"
"395","Mason Jones","4","0","0","0"
"396","Mason Plumlee","27","10","11","0.182"
"397","Matisse Thybulle","109","16","57","0.525"
"398","Matt Hurt","5","2","6","1"
"399","Matt Ryan","23","2","6","0.286"
"400","Max Christie","135","12","67","0.412"
"401","Max Strus","268","18","82","0.379"
"402","Maxi Kleber","37","4","28","0.571"
"403","Maxwell Lewis","13","0","4","0.333"
"404","Micah Potter","3","0","0","0"
"405","Michael Porter Jr.","193","4","124","0.526"
"406","Mikal Bridges","853","116","499","0.476"
"407","Mike Conley","520","32","191","0.464"
"408","Mike Muscala","13","0","0","0"
"409","Miles Bridges","651","87","452","0.48"
"410","Miles McBride","215","8","84","0.435"
"411","Mitchell Robinson","4","0","4","0.667"
"412","Mo Bamba","15","4","8","0.375"
"413","Monte Morris","86","4","33","0.455"
"414","Moritz Wagner","142","48","148","0.605"
"415","Moses Brown","8","0","10","0.625"
"416","Moses Moody","144","22","88","0.5"
"417","Mouhamadou Gueye","14","2","1","0"
"418","Mouhamed Gueye","0","0","0","0"
"419","Moussa Diabate","1","0","0","0"
"420","Myles Turner","139","36","133","0.516"
"421","Naji Marshall","222","34","145","0.496"
"422","Nassir Little","47","0","36","0.68"
"423","Nate Hinton","8","2","2","0"
"424","Nate Williams","29","6","19","0.471"
"425","Nathan Mensah","0","0","0","0"
"426","Naz Reid","284","30","220","0.519"
"427","Neemias Queta","5","0","2","0.333"
"428","Nic Claxton","125","24","114","0.578"
"429","Nick Richards","20","4","20","0.571"
"430","Nick Smith Jr.","113","4","41","0.396"
"431","Nickeil Alexander-Walker","301","16","122","0.491"
"432","Nicolas Batum","11","2","3","0.5"
"433","Nikola Jokic","393","62","313","0.674"
"434","Nikola Jovic","97","16","48","0.5"
"435","Nikola Vucevic","234","10","129","0.541"
"436","Noah Clowney","10","4","4","0.25"
"437","Norman Powell","348","38","252","0.537"
"438","OG Anunoby","261","30","135","0.531"
"439","Obi Toppin","166","18","101","0.538"
"440","Ochai Agbaji","131","12","57","0.426"
"441","Olivier Sarr","0","0","0","0"
"442","Olivier-Maxence Prosper","49","14","20","0.294"
"443","Omer Yurtseven","3","0","2","1"
"444","Onuralp Bitim","28","0","12","0.4"
"445","Onyeka Okongwu","28","4","26","0.688"
"446","Orlando Robinson","13","2","12","0.625"
"447","Oscar Tshiebwe","0","0","0","0"
"448","Oshae Brissett","58","22","48","0.536"
"449","Otto Porter Jr.","5","2","5","1"
"450","Ousmane Dieng","34","3","5","0.2"
"451","P.J. Tucker","8","0","0","0"
"452","P.J. Washington","307","43","175","0.447"
"453","Paolo Banchero","931","235","569","0.447"
"454","Pascal Siakam","883","108","532","0.503"
"455","Pat Connaughton","159","20","62","0.5"
"456","Pat Spencer","1","0","0","0"
"457","Patrick Baldwin Jr.","23","6","11","0.25"
"458","Patrick Beverley","339","36","184","0.493"
"459","Patrick Williams","210","24","104","0.38"
"460","Patty Mills","64","0","18","0.409"
"461","Paul George","503","73","309","0.509"
"462","Paul Reed","118","20","95","0.543"
"463","Payton Pritchard","378","28","148","0.604"
"464","Pete Nance","1","0","0","0"
"465","Peyton Watson","161","16","81","0.485"
"466","Precious Achiuwa","165","30","105","0.436"
"467","Quentin Grimes","89","12","30","0.393"
"468","Quenton Jackson","0","0","0","0"
"469","R.J. Hampton","13","2","3","0.333"
"470","RJ Barrett","607","116","360","0.467"
"471","Rayan Rupert","76","10","35","0.387"
"472","Reggie Bullock Jr.","5","0","4","0.667"
"473","Reggie Jackson","551","40","294","0.459"
"474","Richaun Holmes","15","0","12","0.5"
"475","Ricky Council IV","55","24","52","0.5"
"476","Robert Covington","37","10","27","0.5"
"477","Robert Williams III","1","0","0","0"
"478","Robin Lopez","3","0","2","0.5"
"479","Ron Harper Jr.","1","0","0","0"
"480","Royce O'Neale","145","14","53","0.438"
"481","Rudy Gobert","55","18","41","0.424"
"482","Rui Hachimura","172","36","137","0.519"
"483","Russell Westbrook","496","44","228","0.448"
"484","Ryan Arcidiacono","8","0","0","0"
"485","Ryan Rollins","29","8","23","0.5"
"486","Saben Lee","66","12","28","0.5"
"487","Saddiq Bey","247","76","161","0.38"
"488","Sam Hauser","59","4","27","0.6"
"489","Sam Merrill","78","0","18","0.375"
"490","Sandro Mamukelashvili","43","12","35","0.684"
"491","Santi Aldama","249","24","116","0.443"
