"","GROUP_SET","GROUP_ID","GROUP_NAME","TEAM_ID","TEAM_ABBREVIATION","GP","W","L","W_PCT","MIN","E_OFF_RATING","OFF_RATING","E_DEF_RATING","DEF_RATING","E_NET_RATING","NET_RATING","AST_PCT","AST_TO","AST_RATIO","OREB_PCT","DREB_PCT","REB_PCT","TM_TOV_PCT","EFG_PCT","TS_PCT","E_PACE","PACE","PACE_PER40","POSS","PIE","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","OFF_RATING_RANK","DEF_RATING_RANK","NET_RATING_RANK","AST_PCT_RANK","AST_TO_RANK","AST_RATIO_RANK","OREB_PCT_RANK","DREB_PCT_RANK","REB_PCT_RANK","TM_TOV_PCT_RANK","EFG_PCT_RANK","TS_PCT_RANK","PACE_RANK","PIE_RANK"
"1857","Lineups","-101108-201939-202691-203952-1631218-","C. Paul - S. Curry - K. Thompson - A. Wiggins - T. Jackson-Davis","1610612744","GSW","7","2","5","0.286","12","121.8","114.3","165.3","177.8","-43.5","-63.5","0.667","2.67","21.1","0.2","0.385","0.304","0.107","0.684","0.659","107.8","107.14","89.29","28","0.318","743","1606","14713","8316","1844","5821","13615","12102","5241","1722","4395","7258","11488","11847","7949","3483","4731","6717","10023"
"1858","Lineups","-101108-201939-202691-203967-1630228-","C. Paul - S. Curry - K. Thompson - D. Saric - J. Kuminga","1610612744","GSW","10","5","5","0.5","12","120.8","113.8","122.3","115.4","-1.6","-1.6","0.769","1.67","24.4","0.25","0.667","0.471","0.207","0.714","0.739","101.6","107.81","89.84","29","0.526","366","483","14713","6028","1864","5952","8796","8066","4089","3605","3223","6171","7653","8367","11879","3026","3214","6444","6404"
"1859","Lineups","-1629012-1630184-1630695-1631117-1641729-","C. Sexton - K. Lewis Jr. - M. Potter - W. Kessler - B. Sensabaugh","1610612762","UTA","1","0","1","0","12","129.4","129.2","76","76","53.4","53.2","0.545","6","19.4","0.091","0.688","0.444","0.042","0.6","0.647","99.4","99.52","82.93","24","0.838","6217","8685","4581","8685","1949","4068","3985","2625","7525","171","5700","8603","7534","8896","6287","4987","4954","10275","2566"
"1860","Lineups","-1630166-1630215-1630264-1630557-1631098-","D. Avdija - J. Butler - A. Gill - C. Kispert - J. Davis","1610612764","WAS","4","1","3","0.25","12","94","96","112.7","108.3","-18.6","-12.3","0.714","1.67","14.7","0.286","0.727","0.48","0.12","0.405","0.489","99","99.8","83.17","25","0.425","1614","3115","13689","8354","1955","8917","7910","8888","4807","3605","8098","5700","6944","8220","8487","9724","9566","10155","8425"
"1861","Lineups","-201942-1627936-1629632-1630172-1630245-","D. DeRozan - A. Caruso - C. White - P. Williams - A. Dosunmu","1610612741","CHI","5","2","3","0.4","12","79.5","69.2","140.3","146.2","-60.8","-76.9","0.8","4","12.9","0.063","0.583","0.286","0.038","0.35","0.398","101.8","106.51","88.76","26","0.139","1192","1606","13689","7618","1970","10926","11966","12716","3714","535","8922","8676","9471","11902","6268","10471","10941","6988","11685"
"1862","Lineups","-201942-203083-1627936-1628470-1630245-","D. DeRozan - A. Drummond - A. Caruso - T. Craig - A. Dosunmu","1610612741","CHI","6","3","3","0.5","12","129.4","116.7","100.5","95.8","28.9","20.8","0.7","0","20","0.385","0.667","0.536","0","0.5","0.546","88.3","95.21","79.34","24","0.69","926","981","13689","6028","1894","5490","5547","4738","5022","7422","4684","3892","7653","5375","1","6808","7518","11954","3811"
"1863","Lineups","-203957-1627884-1629029-1630702-1641726-","D. Exum - D. Jones Jr. - L. Doncic - J. Hardy - D. Lively II","1610612742","DAL","2","1","1","0.5","12","132.9","134.8","102.8","104.2","30.1","30.6","0.357","5","17.2","0.125","0.692","0.476","0.043","0.682","0.665","98.4","97.1","80.92","23","0.55","3544","3115","4581","6028","1993","3390","7553","4026","9917","288","6638","8367","7468","8283","6299","3499","4644","11266","5945"
"1864","Lineups","-1627827-1628372-1629022-1630549-1630560-","D. Finney-Smith - D. Smith Jr. - L. Walker IV - D. Sharpe - C. Thomas","1610612751","BKN","3","1","2","0.333","12","86.8","84","56.3","50","30.5","34","0.375","1","9.7","0.2","0.833","0.545","0.12","0.386","0.434","96.5","104.19","86.83","25","0.9","2278","3115","11854","7783","1871","9829","2193","3699","9871","4604","10083","7258","4873","5074","8487","10070","10370","8053","2198"
"1865","Lineups","-201568-201976-203114-1626171-1626192-","D. Gallinari - P. Beverley - K. Middleton - B. Portis - P. Connaughton","1610612749","MIL","1","0","1","0","12","133.7","118.2","140","140","-6.3","-21.8","0.333","1","14.3","0.4","0.778","0.643","0.182","0.735","0.745","81.1","86.4","72","22","0.523","6217","8685","4581","8685","1982","5380","11491","9658","9923","4604","8135","3498","5816","3103","10906","2891","3151","14100","6450"
"1866","Lineups","-1627745-1627747-1629731-1630241-1641854-","D. Jones - C. LeVert - D. Wade - S. Merrill - C. Porter Jr.","1610612739","CLE","2","1","1","0.5","12","52.3","54.2","129.3","130.4","-77.1","-76.3","0.333","0.67","6.7","0.235","0.889","0.462","0.125","0.261","0.272","98.1","95.86","79.89","24","-0.058","3544","3115","4581","6028","1960","11929","10598","12696","9923","6452","10589","6939","4446","8537","8573","11490","12255","11757","13403"
"1867","Lineups","-203081-203507-1626171-1630699-1631260-","D. Lillard - G. Antetokounmpo - B. Portis - M. Beauchamp - A. Green","1610612749","MIL","3","2","1","0.667","12","149.5","153.8","115","125","34.4","28.8","0.733","5.5","26.8","0.364","0.6","0.5","0.077","0.692","0.72","109.6","103.72","86.43","26","0.607","2278","1606","4581","5127","1999","2021","9875","4132","4713","270","2056","4119","9152","5848","6884","3368","3477","8288","4956"
"1868","Lineups","-203926-1626224-1630200-1631103-1641705-","D. McDermott - C. Osman - T. Jones - M. Branham - V. Wembanyama","1610612759","SAS","3","0","3","0","12","68.4","66.7","107.1","111.5","-38.7","-44.9","0.857","1.2","16.7","0.176","0.615","0.367","0.185","0.37","0.37","104.8","103.98","86.65","27","0.169","2278","8685","13689","8685","1867","10968","8314","11177","3416","4501","6760","7810","9089","10681","11073","10326","11248","8150","11449"
"1869","Lineups","-203926-1629640-1631103-1631110-1641705-","D. McDermott - K. Johnson - M. Branham - J. Sochan - V. Wembanyama","1610612759","SAS","4","0","4","0","12","89.7","96","137.3","136","-47.6","-40","0.8","1.6","21.6","0.333","0.786","0.577","0.2","0.455","0.505","104.2","101.12","84.27","25","0.426","1614","8685","14390","8685","1940","8917","11254","10870","3714","3750","4165","4292","5738","4336","11241","8958","8549","9561","8415"
"1870","Lineups","-203926-1628380-1631103-1631110-1641705-","D. McDermott - Z. Collins - M. Branham - J. Sochan - V. Wembanyama","1610612759","SAS","6","0","6","0","12","109.7","104.3","150.1","158.3","-40.4","-54","0.5","1","15.6","0.364","0.545","0.455","0.217","0.575","0.575","96.1","95.73","79.77","23","0.317","926","8685","14898","8685","1955","6909","12821","11757","7668","4604","7737","4119","9761","8682","12003","5629","6786","11788","10026"
"1871","Lineups","-1627749-1628981-1629631-1629726-1630235-","D. Murray - B. Fernando - D. Hunter - G. Mathews - T. Forrest","1610612737","ATL","3","1","2","0.333","12","129.2","125.9","135.7","133.3","-6.6","-7.4","0.692","2.25","24.3","0.111","0.5","0.267","0.148","0.705","0.729","105.1","107.4","89.5","27","0.44","2278","3115","11854","7783","1903","4344","10693","8497","5106","2164","3231","8492","9846","12091","9850","3162","3335","6622","8142"
"1872","Lineups","-201565-1628991-1629723-1630533-1631223-","D. Rose - J. Jackson Jr. - J. Konchar - Z. Williams - D. Roddy","1610612763","MEM","3","0","3","0","12","94","82.8","98.7","92.6","-4.7","-9.8","0.5","1.33","11.8","0.231","0.923","0.577","0.103","0.45","0.51","105.5","116.2","96.83","29","0.512","2278","8685","13689","8685","2000","10020","5342","8705","7668","4253","9394","6967","4341","4336","7852","9018","8343","3990","6651"
"1873","Lineups","-1627734-1628370-1628426-1630558-1631099-","D. Sabonis - M. Monk - A. Vezenkov - D. Mitchell - K. Murray","1610612758","SAC","5","2","3","0.4","12","126.8","114.8","123.3","122.2","3.5","-7.4","0.833","3.33","26.3","0.1","0.909","0.524","0.111","0.682","0.691","98.4","103.82","86.52","27","0.478","1192","1606","13689","7618","1822","5796","9663","8497","3517","972","2139","8563","4367","5585","8013","3499","4041","8241","7438"
