"","PLAYER_NAME","CONTESTED_SHOTS","BLK","pct_blocked"
"432","Robin Lopez",31,3,0.0967741935483871
"433","Svi Mykhailiuk",31,0,0
"434","Trevelin Queen",31,5,0.161290322580645
"435","Joe Harris",30,2,0.0666666666666667
"436","Udoka Azubuike",30,6,0.2
"437","Matt Hurt",29,3,0.103448275862069
"438","Robert Williams III",29,7,0.241379310344828
"439","Brandon Boston Jr.",28,7,0.25
"440","Harry Giles III",28,3,0.107142857142857
"441","Jared Rhoden",28,7,0.25
"442","Ashton Hagans",27,9,0.333333333333333
"443","Colby Jones",27,4,0.148148148148148
"444","Dru Smith",26,3,0.115384615384615
"445","Theo Maledon",26,0,0
"446","Patty Mills",25,1,0.04
"447","Ricky Council IV",25,1,0.04
"448","Thanasis Antetokounmpo",24,4,0.166666666666667
"449","Josh Minott",23,5,0.217391304347826
"450","Kira Lewis Jr.",23,2,0.0869565217391304
"451","Olivier Sarr",23,7,0.304347826086957
"452","Otto Porter Jr.",22,5,0.227272727272727
"453","Maozinha Pereira",21,4,0.19047619047619
"454","Moussa Diabate",18,1,0.0555555555555556
"455","Wenyen Gabriel",18,2,0.111111111111111
"456","Brandon Clarke",17,5,0.294117647058824
"457","Emoni Bates",17,2,0.117647058823529
"458","Furkan Korkmaz",17,3,0.176470588235294
"459","DeJon Jarreau",16,2,0.125
"460","Gabe Vincent",16,0,0
"461","Jahmi'us Ramsey",16,0,0
"462","Jalen Pickett",16,0,0
"463","Jules Bernard",16,1,0.0625
"464","Maxwell Lewis",16,1,0.0625
"465","AJ Griffin",15,1,0.0666666666666667
"466","Cole Swider",15,1,0.0666666666666667
"467","Colin Castleton",15,0,0
"468","Isaiah Mobley",15,0,0
"469","Nate Williams",15,0,0
"470","Armoni Brooks",14,1,0.0714285714285714
"471","Boban Marjanovic",14,1,0.0714285714285714
"472","Greg Brown III",14,4,0.285714285714286
"473","Darius Bazley",13,3,0.230769230769231
"474","Dylan Windler",13,0,0
"475","Jay Huff",13,2,0.153846153846154
"476","Jaylen Nowell",13,2,0.153846153846154
"477","Zavier Simpson",13,3,0.230769230769231
"478","Admiral Schofield",12,0,0
"479","Jalen Hood-Schifino",12,2,0.166666666666667
"480","Ryan Rollins",12,3,0.25
"481","Jermaine Samuels Jr.",11,1,0.0909090909090909
"482","Jerome Robinson",11,3,0.272727272727273
